id,name,min_age,max_age,capacity_required,theme,description
64,Parcours d'Équilibre,4,6,15,Sport,"Marcher sur une poutre au ras du sol sans tomber."
65,Tri de Formes et Couleurs,1,3,10,Logique,"Classer des jetons par couleur ou forme dans des bacs."
66,Sable Cinétique,2,6,12,Sensoriel,"Manipuler du sable magique qui ne sèche jamais pour créer des châteaux."
67,Atelier Origami Facile,5,6,10,Logique,"Plier du papier pour faire de petits bateaux ou avions."
68,Instruments en Objets Recyclés,3,6,15,Musique,"Faire des percussions avec des boîtes de conserve et cuillères."
69,Jeu des 7 Familles (Adapté),4,6,10,Logique,"Reconstituer des petites familles de cartes (ex: animaux)."
70,Peinture avec des Billes,3,6,10,Art,"Faire rouler des billes trempées dans la peinture dans une boîte en carton."
71,Séance de Relaxation,2,6,20,Calme,"Écouter de la musique douce en position allongée avec une lumière tamisée."
72,Apprendre à Faire ses Lacets,5,6,10,Découverte,"Atelier pratique avec des planches en carton et des lacets."
73,Mémory Géant,3,6,12,Logique,"Jeu de mémoire avec de grandes cartes posées à l'envers sur le sol."
74,Le Facteur n'est pas passé,3,6,20,Sport,"Jeu de course en ronde traditionnel."
75,Création de Mandalas Nature,4,6,15,Nature,"Faire un joli dessin au sol avec des cailloux feuilles et brindilles."
