id,title,description,type,location,city,city_aliases,venue_type,indoor_outdoor,season,month_start,month_end,age_min,age_max,duration_minutes,price_dt,budget_level,requires_authorization,tags,educational_value,recommended_label,source_url,source_type
11,Atelier patrimoine visuel - Cité des Sciences à Tunis,"Observation de formes, mosaïques et objets anciens avec langage adapté. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ATELIER,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,ALL,1,12,4,6,45,10,LOW,true,patrimoine;mosaïque;culture;formes,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
12,Pique-nique pédagogique - Cité des Sciences à Tunis,"Temps calme en extérieur avec règles de groupe, repas et jeux libres. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ACTIVITE,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,PRINTEMPS,3,5,2,6,60,6,LOW,true,pique_nique;autonomie;plein_air;vie_collective,MEDIUM,RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
13,Atelier collage nature - Cité des Sciences à Tunis,"Feuilles, fleurs et textures pour créer une œuvre simple. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ATELIER,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,AUTOMNE,9,11,2,6,75,7,LOW,false,nature;automne;collage;textures,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
14,Visite marine sensorielle - Cité des Sciences à Tunis,Découverte du monde marin avec vocabulaire simple et observation. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.,SORTIE,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,ALL,1,12,3,6,60,15,LOW,true,mer;poissons;marine;observation,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
15,Atelier théâtre et marionnettes - Cité des Sciences à Tunis,"Jeu symbolique, histoires courtes et manipulation de marionnettes. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ATELIER,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,HIVER,11,2,3,6,75,10,LOW,false,theatre;marionnettes;expression;langage,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
16,Atelier peinture créative - Planétarium de la Cité des Sciences à Tunis,"Expression artistique libre avec peinture, couleurs et collage. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ATELIER,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,ALL,1,12,2,6,45,15,LOW,false,art;creativite;peinture;motricite_fine,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
17,Atelier lecture et contes - Planétarium de la Cité des Sciences à Tunis,"Lecture animée, comptines et découverte du livre en petit groupe. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ACTIVITE,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,ALL,1,12,2,5,75,3,LOW,false,lecture;conte;langage;calme,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
18,Atelier sciences ludiques - Planétarium de la Cité des Sciences à Tunis,Expériences simples et sécurisées adaptées aux enfants. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.,ATELIER,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,ALL,1,12,4,6,45,18,LOW,false,science;curiosite;observation;experience,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
19,Visite découverte musée - Planétarium de la Cité des Sciences à Tunis,Parcours très court centré sur l'observation et la curiosité. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.,SORTIE,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,ALL,1,12,4,6,45,13,LOW,true,musee;culture;observation;patrimoine,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
20,Parcours nature et observation - Planétarium de la Cité des Sciences à Tunis,"Découverte des arbres, des insectes et des saisons dans un espace vert. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",SORTIE,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,PRINTEMPS,3,5,2,6,90,3,LOW,true,nature;plein_air;observation;saisons,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
21,Jeux moteurs en plein air - Planétarium de la Cité des Sciences à Tunis,"Parcours moteur, jeux collectifs et coordination en extérieur. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ACTIVITE,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,PRINTEMPS,3,5,2,6,45,3,LOW,false,motricite;plein_air;cooperation,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
22,Atelier jardinage - Planétarium de la Cité des Sciences à Tunis,"Plantation de graines, arrosage et découverte du vivant. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ATELIER,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,PRINTEMPS,3,5,2,6,45,8,LOW,false,jardinage;nature;botanique;sensoriel,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
23,Jeux d'eau encadrés - Planétarium de la Cité des Sciences à Tunis,"Jeux sensoriels d'été avec eau, bacs et activités rafraîchissantes. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ACTIVITE,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,ETE,6,8,2,6,90,11,LOW,false,ete;eau;sensoriel;motricite,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
24,Atelier musique et rythme - Planétarium de la Cité des Sciences à Tunis,"Chansons, percussions douces et expression corporelle. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ATELIER,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,ALL,1,12,2,6,90,13,LOW,false,musique;rythme;expression;groupe,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
25,Mini exploration planétarium - Planétarium de la Cité des Sciences à Tunis,Découverte visuelle de l'espace et des étoiles en séance courte. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.,SORTIE,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,ALL,1,12,4,6,45,17,LOW,true,astronomie;planetes;science;immersion,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
26,Atelier patrimoine visuel - Planétarium de la Cité des Sciences à Tunis,"Observation de formes, mosaïques et objets anciens avec langage adapté. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ATELIER,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,ALL,1,12,4,6,45,13,LOW,true,patrimoine;mosaïque;culture;formes,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
27,Pique-nique pédagogique - Planétarium de la Cité des Sciences à Tunis,"Temps calme en extérieur avec règles de groupe, repas et jeux libres. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ACTIVITE,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,PRINTEMPS,3,5,2,6,60,9,LOW,true,pique_nique;autonomie;plein_air;vie_collective,MEDIUM,RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
28,Atelier collage nature - Planétarium de la Cité des Sciences à Tunis,"Feuilles, fleurs et textures pour créer une œuvre simple. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ATELIER,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,AUTOMNE,9,11,2,6,90,10,LOW,false,nature;automne;collage;textures,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
29,Visite marine sensorielle - Planétarium de la Cité des Sciences à Tunis,Découverte du monde marin avec vocabulaire simple et observation. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.,SORTIE,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,ALL,1,12,3,6,90,18,LOW,true,mer;poissons;marine;observation,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
30,Atelier théâtre et marionnettes - Planétarium de la Cité des Sciences à Tunis,"Jeu symbolique, histoires courtes et manipulation de marionnettes. Lieu: Planétarium de la Cité des Sciences à Tunis. Contexte: Spectacles et programmation scientifique.",ATELIER,Planétarium de la Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,PLANETARIUM,INDOOR,HIVER,11,2,3,6,90,13,LOW,false,theatre;marionnettes;expression;langage,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic/listByTheme/status/newer/id/138,verified_venue + synthetic_activity_template
31,Atelier peinture créative - Parc du Belvédère,"Expression artistique libre avec peinture, couleurs et collage. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ATELIER,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,2,6,60,9,LOW,false,art;creativite;peinture;motricite_fine,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
32,Atelier lecture et contes - Parc du Belvédère,"Lecture animée, comptines et découverte du livre en petit groupe. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ACTIVITE,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,2,5,75,0,LOW,false,lecture;conte;langage;calme,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
33,Atelier sciences ludiques - Parc du Belvédère,Expériences simples et sécurisées adaptées aux enfants. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.,ATELIER,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,4,6,90,12,LOW,false,science;curiosite;observation;experience,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
34,Visite découverte musée - Parc du Belvédère,Parcours très court centré sur l'observation et la curiosité. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.,SORTIE,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,4,6,90,7,LOW,true,musee;culture;observation;patrimoine,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
35,Parcours nature et observation - Parc du Belvédère,"Découverte des arbres, des insectes et des saisons dans un espace vert. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",SORTIE,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,PRINTEMPS,3,5,2,6,75,0,LOW,true,nature;plein_air;observation;saisons,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
36,Jeux moteurs en plein air - Parc du Belvédère,"Parcours moteur, jeux collectifs et coordination en extérieur. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ACTIVITE,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,PRINTEMPS,3,5,2,6,60,0,LOW,false,motricite;plein_air;cooperation,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
37,Atelier jardinage - Parc du Belvédère,"Plantation de graines, arrosage et découverte du vivant. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ATELIER,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,PRINTEMPS,3,5,2,6,90,2,LOW,false,jardinage;nature;botanique;sensoriel,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
38,Jeux d'eau encadrés - Parc du Belvédère,"Jeux sensoriels d'été avec eau, bacs et activités rafraîchissantes. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ACTIVITE,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ETE,6,8,2,6,90,5,LOW,false,ete;eau;sensoriel;motricite,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
39,Atelier musique et rythme - Parc du Belvédère,"Chansons, percussions douces et expression corporelle. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ATELIER,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,2,6,60,7,LOW,false,musique;rythme;expression;groupe,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
40,Mini exploration planétarium - Parc du Belvédère,Découverte visuelle de l'espace et des étoiles en séance courte. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.,SORTIE,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,4,6,45,11,LOW,true,astronomie;planetes;science;immersion,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
41,Atelier patrimoine visuel - Parc du Belvédère,"Observation de formes, mosaïques et objets anciens avec langage adapté. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ATELIER,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,4,6,45,7,LOW,true,patrimoine;mosaïque;culture;formes,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
42,Pique-nique pédagogique - Parc du Belvédère,"Temps calme en extérieur avec règles de groupe, repas et jeux libres. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ACTIVITE,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,PRINTEMPS,3,5,2,6,75,3,LOW,true,pique_nique;autonomie;plein_air;vie_collective,MEDIUM,RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
43,Atelier collage nature - Parc du Belvédère,"Feuilles, fleurs et textures pour créer une œuvre simple. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ATELIER,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,AUTOMNE,9,11,2,6,75,4,LOW,false,nature;automne;collage;textures,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
44,Visite marine sensorielle - Parc du Belvédère,Découverte du monde marin avec vocabulaire simple et observation. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.,SORTIE,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,3,6,90,12,LOW,true,mer;poissons;marine;observation,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
45,Atelier théâtre et marionnettes - Parc du Belvédère,"Jeu symbolique, histoires courtes et manipulation de marionnettes. Lieu: Parc du Belvédère. Contexte: Parc urbain de Tunis.",ATELIER,Parc du Belvédère,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,HIVER,11,2,3,6,60,7,LOW,false,theatre;marionnettes;expression;langage,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
46,Atelier peinture créative - Jardin Japonais de Tunis,"Expression artistique libre avec peinture, couleurs et collage. Lieu: Jardin Japonais de Tunis. Contexte: Parcs et jardins municipaux.",ATELIER,Jardin Japonais de Tunis,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,2,6,60,9,LOW,false,art;creativite;peinture;motricite_fine,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
47,Atelier lecture et contes - Jardin Japonais de Tunis,"Lecture animée, comptines et découverte du livre en petit groupe. Lieu: Jardin Japonais de Tunis. Contexte: Parcs et jardins municipaux.",ACTIVITE,Jardin Japonais de Tunis,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,2,5,75,0,LOW,false,lecture;conte;langage;calme,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
48,Atelier sciences ludiques - Jardin Japonais de Tunis,Expériences simples et sécurisées adaptées aux enfants. Lieu: Jardin Japonais de Tunis. Contexte: Parcs et jardins municipaux.,ATELIER,Jardin Japonais de Tunis,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,4,6,75,12,LOW,false,science;curiosite;observation;experience,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
49,Visite découverte musée - Jardin Japonais de Tunis,Parcours très court centré sur l'observation et la curiosité. Lieu: Jardin Japonais de Tunis. Contexte: Parcs et jardins municipaux.,SORTIE,Jardin Japonais de Tunis,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,ALL,1,12,4,6,45,7,LOW,true,musee;culture;observation;patrimoine,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
50,Parcours nature et observation - Jardin Japonais de Tunis,"Découverte des arbres, des insectes et des saisons dans un espace vert. Lieu: Jardin Japonais de Tunis. Contexte: Parcs et jardins municipaux.",SORTIE,Jardin Japonais de Tunis,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,PRINTEMPS,3,5,2,6,45,0,LOW,true,nature;plein_air;observation;saisons,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
51,Jeux moteurs en plein air - Jardin Japonais de Tunis,"Parcours moteur, jeux collectifs et coordination en extérieur. Lieu: Jardin Japonais de Tunis. Contexte: Parcs et jardins municipaux.",ACTIVITE,Jardin Japonais de Tunis,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,PRINTEMPS,3,5,2,6,60,0,LOW,false,motricite;plein_air;cooperation,HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
52,Atelier jardinage - Jardin Japonais de Tunis,"Plantation de graines, arrosage et découverte du vivant. Lieu: Jardin Japonais de Tunis. Contexte: Parcs et jardins municipaux.",ATELIER,Jardin Japonais de Tunis,tunis,tunis|ariana|la goulette|carthage,PARK,OUTDOOR,PRINTEMPS,3,5,2,6,60,2,LOW,false,jardinage;nature;botanique;sensoriel,VERY_HIGH,HIGHLY_RECOMMENDED,https://commune-tunis.gov.tn/publish/content/article.asp?id=1079,verified_venue + synthetic_activity_template
