season,month,age_group,budget_level,outdoor_preferred,city_context,event_type,indoor_outdoor,title,description,suggested_location,requires_authorization,price,relevance_label
PRINTEMPS,APRIL,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,10.6,HIGH
PRINTEMPS,APRIL,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,16.6,HIGH
PRINTEMPS,APRIL,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,26.9,HIGH
PRINTEMPS,MAY,2-3 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,14.6,HIGH
PRINTEMPS,MAY,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,18.7,HIGH
PRINTEMPS,MAY,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,20.3,HIGH
PRINTEMPS,MAY,2-3 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,17.9,HIGH
PRINTEMPS,MAY,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,9.2,HIGH
PRINTEMPS,MAY,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,12.2,HIGH
PRINTEMPS,MAY,4-5 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,26.3,HIGH
PRINTEMPS,MAY,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,6.2,HIGH
PRINTEMPS,MAY,2-6 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,8.0,HIGH
PRINTEMPS,MAY,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,27.4,HIGH
PRINTEMPS,MAY,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,18.7,HIGH
PRINTEMPS,MAY,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,19.7,HIGH
ETE,JUNE,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,20.4,HIGH
ETE,JUNE,2-3 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,13.0,HIGH
ETE,JUNE,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,24.9,HIGH
ETE,JUNE,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,8.1,HIGH
ETE,JUNE,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,5.4,HIGH
ETE,JUNE,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,8.8,HIGH
ETE,JUNE,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,12.1,HIGH
ETE,JUNE,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,9.5,HIGH
ETE,JUNE,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,26.8,HIGH
ETE,JUNE,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,11.7,HIGH
ETE,JUNE,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,13.2,HIGH
ETE,JUNE,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,22.6,HIGH
ETE,JULY,2-3 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,11.1,HIGH
ETE,JULY,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,23.6,HIGH
ETE,JULY,2-3 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,16.0,HIGH
ETE,JULY,2-3 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,17.2,HIGH
ETE,JULY,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,12.9,HIGH
ETE,JULY,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,7.1,HIGH
ETE,JULY,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,8.5,HIGH
ETE,JULY,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,4.9,HIGH
ETE,JULY,2-6 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,8.8,HIGH
ETE,JULY,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,14.8,HIGH
ETE,JULY,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,13.1,HIGH
ETE,JULY,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,14.2,HIGH
ETE,AUGUST,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,26.6,HIGH
ETE,AUGUST,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,8.1,HIGH
ETE,AUGUST,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,8.1,HIGH
ETE,AUGUST,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,25.5,HIGH
ETE,AUGUST,4-5 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,21.4,HIGH
ETE,AUGUST,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,13.5,HIGH
ETE,AUGUST,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,10.0,HIGH
ETE,AUGUST,4-5 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,26.8,HIGH
ETE,AUGUST,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,17.8,HIGH
ETE,AUGUST,2-6 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,7.0,HIGH
ETE,AUGUST,2-6 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,9.2,HIGH
ETE,AUGUST,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,16.7,HIGH
AUTOMNE,SEPTEMBER,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,24.1,HIGH
AUTOMNE,SEPTEMBER,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,6.2,HIGH
AUTOMNE,SEPTEMBER,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,7.2,HIGH
AUTOMNE,SEPTEMBER,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,27.2,HIGH
AUTOMNE,SEPTEMBER,4-5 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,21.2,HIGH
AUTOMNE,SEPTEMBER,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,4.7,HIGH
AUTOMNE,SEPTEMBER,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,17.0,HIGH
AUTOMNE,SEPTEMBER,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,11.9,HIGH
AUTOMNE,SEPTEMBER,2-6 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,9.3,HIGH
AUTOMNE,SEPTEMBER,2-6 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,4.5,HIGH
AUTOMNE,SEPTEMBER,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,16.5,HIGH
AUTOMNE,SEPTEMBER,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,25.7,HIGH
AUTOMNE,OCTOBER,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,8.0,HIGH
AUTOMNE,OCTOBER,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,19.7,HIGH
AUTOMNE,OCTOBER,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,26.7,HIGH
AUTOMNE,OCTOBER,2-3 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,17.7,HIGH
AUTOMNE,OCTOBER,4-5 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,25.6,HIGH
AUTOMNE,OCTOBER,4-5 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,20.0,HIGH
AUTOMNE,OCTOBER,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,13.2,HIGH
AUTOMNE,OCTOBER,4-5 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,24.5,HIGH
AUTOMNE,OCTOBER,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,17.2,HIGH
AUTOMNE,OCTOBER,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,11.0,HIGH
AUTOMNE,OCTOBER,2-6 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,4.4,HIGH
AUTOMNE,OCTOBER,2-6 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,7.5,HIGH
AUTOMNE,NOVEMBER,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,7.5,HIGH
AUTOMNE,NOVEMBER,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,4.4,HIGH
AUTOMNE,NOVEMBER,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,18.6,HIGH
AUTOMNE,NOVEMBER,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,9.4,HIGH
AUTOMNE,NOVEMBER,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,10.6,HIGH
AUTOMNE,NOVEMBER,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,5.7,HIGH
AUTOMNE,NOVEMBER,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,11.7,HIGH
AUTOMNE,NOVEMBER,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,8.3,HIGH
AUTOMNE,NOVEMBER,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,23.8,HIGH
AUTOMNE,NOVEMBER,2-6 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,8.7,HIGH
